Time, ProductionCenter, WorkersCount, BufferCount
0.0, Производственный центр №1, 2, 498
0.0, Производственный центр №2, 0, 0
0.0, Производственный центр №3, 0, 0
0.0, Производственный центр №4, 0, 0
0.0, Производственный центр №5, 0, 0
1.0, Производственный центр №1, 2, 498
1.0, Производственный центр №2, 0, 0
1.0, Производственный центр №3, 0, 0
1.0, Производственный центр №4, 0, 0
1.0, Производственный центр №5, 0, 0
2.0, Производственный центр №1, 2, 498
2.0, Производственный центр №2, 0, 0
2.0, Производственный центр №3, 0, 0
2.0, Производственный центр №4, 0, 0
2.0, Производственный центр №5, 0, 0
3.0, Производственный центр №1, 2, 496
3.0, Производственный центр №2, 1, 0
3.0, Производственный центр №3, 0, 0
3.0, Производственный центр №4, 0, 0
3.0, Производственный центр №5, 1, 0
4.0, Производственный центр №1, 2, 496
4.0, Производственный центр №2, 1, 0
4.0, Производственный центр №3, 0, 0
4.0, Производственный центр №4, 0, 0
4.0, Производственный центр №5, 0, 0
5.0, Производственный центр №1, 2, 494
5.0, Производственный центр №2, 2, 0
5.0, Производственный центр №3, 0, 0
5.0, Производственный центр №4, 0, 0
5.0, Производственный центр №5, 1, 0
6.0, Производственный центр №1, 2, 494
6.0, Производственный центр №2, 1, 0
6.0, Производственный центр №3, 1, 0
6.0, Производственный центр №4, 0, 0
6.0, Производственный центр №5, 0, 0
7.0, Производственный центр №1, 2, 492
7.0, Производственный центр №2, 2, 0
7.0, Производственный центр №3, 1, 0
7.0, Производственный центр №4, 1, 0
7.0, Производственный центр №5, 0, 0
8.0, Производственный центр №1, 2, 492
8.0, Производственный центр №2, 1, 0
8.0, Производственный центр №3, 2, 0
8.0, Производственный центр №4, 0, 0
8.0, Производственный центр №5, 1, 0
9.0, Производственный центр №1, 2, 490
9.0, Производственный центр №2, 2, 0
9.0, Производственный центр №3, 1, 0
9.0, Производственный центр №4, 1, 0
9.0, Производственный центр №5, 0, 0
10.0, Производственный центр №1, 2, 490
10.0, Производственный центр №2, 2, 0
10.0, Производственный центр №3, 1, 0
10.0, Производственный центр №4, 1, 0
10.0, Производственный центр №5, 0, 0
11.0, Производственный центр №1, 2, 488
11.0, Производственный центр №2, 2, 0
11.0, Производственный центр №3, 1, 0
11.0, Производственный центр №4, 1, 0
11.0, Производственный центр №5, 0, 2
12.0, Производственный центр №1, 2, 488
12.0, Производственный центр №2, 2, 0
12.0, Производственный центр №3, 1, 0
12.0, Производственный центр №4, 0, 0
12.0, Производственный центр №5, 1, 2
13.0, Производственный центр №1, 2, 488
13.0, Производственный центр №2, 1, 0
13.0, Производственный центр №3, 2, 0
13.0, Производственный центр №4, 0, 0
13.0, Производственный центр №5, 1, 0
14.0, Производственный центр №1, 2, 486
14.0, Производственный центр №2, 1, 0
14.0, Производственный центр №3, 2, 0
14.0, Производственный центр №4, 1, 0
14.0, Производственный центр №5, 0, 0
15.0, Производственный центр №1, 2, 486
15.0, Производственный центр №2, 1, 0
15.0, Производственный центр №3, 2, 0
15.0, Производственный центр №4, 1, 0
15.0, Производственный центр №5, 0, 0
16.0, Производственный центр №1, 2, 484
16.0, Производственный центр №2, 1, 1
16.0, Производственный центр №3, 1, 0
16.0, Производственный центр №4, 1, 0
16.0, Производственный центр №5, 1, 0
17.0, Производственный центр №1, 2, 484
17.0, Производственный центр №2, 2, 0
17.0, Производственный центр №3, 0, 0
17.0, Производственный центр №4, 0, 0
17.0, Производственный центр №5, 1, 0
18.0, Производственный центр №1, 2, 482
18.0, Производственный центр №2, 2, 0
18.0, Производственный центр №3, 1, 0
18.0, Производственный центр №4, 1, 0
18.0, Производственный центр №5, 0, 0
19.0, Производственный центр №1, 2, 482
19.0, Производственный центр №2, 2, 0
19.0, Производственный центр №3, 1, 0
19.0, Производственный центр №4, 0, 0
19.0, Производственный центр №5, 1, 0
20.0, Производственный центр №1, 2, 480
20.0, Производственный центр №2, 2, 1
20.0, Производственный центр №3, 1, 0
20.0, Производственный центр №4, 1, 0
20.0, Производственный центр №5, 0, 0
21.0, Производственный центр №1, 2, 480
21.0, Производственный центр №2, 1, 0
21.0, Производственный центр №3, 2, 0
21.0, Производственный центр №4, 0, 0
21.0, Производственный центр №5, 1, 1
22.0, Производственный центр №1, 2, 478
22.0, Производственный центр №2, 2, 0
22.0, Производственный центр №3, 2, 0
22.0, Производственный центр №4, 0, 1
22.0, Производственный центр №5, 0, 0
23.0, Производственный центр №1, 2, 478
23.0, Производственный центр №2, 2, 0
23.0, Производственный центр №3, 2, 0
23.0, Производственный центр №4, 0, 1
23.0, Производственный центр №5, 0, 0
24.0, Производственный центр №1, 2, 478
24.0, Производственный центр №2, 2, 0
24.0, Производственный центр №3, 0, 0
24.0, Производственный центр №4, 1, 0
24.0, Производственный центр №5, 0, 0
25.0, Производственный центр №1, 2, 476
25.0, Производственный центр №2, 2, 0
25.0, Производственный центр №3, 1, 0
25.0, Производственный центр №4, 1, 1
25.0, Производственный центр №5, 0, 0
26.0, Производственный центр №1, 2, 476
26.0, Производственный центр №2, 1, 0
26.0, Производственный центр №3, 2, 0
26.0, Производственный центр №4, 1, 0
26.0, Производственный центр №5, 0, 1
27.0, Производственный центр №1, 2, 474
27.0, Производственный центр №2, 1, 1
27.0, Производственный центр №3, 2, 0
27.0, Производственный центр №4, 1, 0
27.0, Производственный центр №5, 0, 2
28.0, Производственный центр №1, 2, 474
28.0, Производственный центр №2, 1, 0
28.0, Производственный центр №3, 2, 0
28.0, Производственный центр №4, 1, 0
28.0, Производственный центр №5, 0, 3
29.0, Производственный центр №1, 2, 472
29.0, Производственный центр №2, 1, 1
29.0, Производственный центр №3, 1, 0
29.0, Производственный центр №4, 1, 0
29.0, Производственный центр №5, 1, 3
30.0, Производственный центр №1, 2, 472
30.0, Производственный центр №2, 1, 1
30.0, Производственный центр №3, 1, 0
30.0, Производственный центр №4, 0, 0
30.0, Производственный центр №5, 2, 1
31.0, Производственный центр №1, 2, 470
31.0, Производственный центр №2, 2, 1
31.0, Производственный центр №3, 0, 0
31.0, Производственный центр №4, 1, 0
31.0, Производственный центр №5, 0, 0
32.0, Производственный центр №1, 2, 470
32.0, Производственный центр №2, 2, 0
32.0, Производственный центр №3, 1, 0
32.0, Производственный центр №4, 1, 0
32.0, Производственный центр №5, 0, 0
33.0, Производственный центр №1, 2, 468
33.0, Производственный центр №2, 2, 1
33.0, Производственный центр №3, 1, 0
33.0, Производственный центр №4, 1, 0
33.0, Производственный центр №5, 0, 1
34.0, Производственный центр №1, 2, 468
34.0, Производственный центр №2, 2, 1
34.0, Производственный центр №3, 1, 0
34.0, Производственный центр №4, 0, 0
34.0, Производственный центр №5, 1, 1
35.0, Производственный центр №1, 2, 468
35.0, Производственный центр №2, 1, 0
35.0, Производственный центр №3, 2, 0
35.0, Производственный центр №4, 0, 0
35.0, Производственный центр №5, 1, 0
36.0, Производственный центр №1, 2, 466
36.0, Производственный центр №2, 2, 0
36.0, Производственный центр №3, 2, 0
36.0, Производственный центр №4, 0, 1
36.0, Производственный центр №5, 0, 0
37.0, Производственный центр №1, 2, 466
37.0, Производственный центр №2, 2, 0
37.0, Производственный центр №3, 2, 0
37.0, Производственный центр №4, 0, 1
37.0, Производственный центр №5, 0, 0
38.0, Производственный центр №1, 2, 464
38.0, Производственный центр №2, 2, 1
38.0, Производственный центр №3, 0, 0
38.0, Производственный центр №4, 2, 0
38.0, Производственный центр №5, 0, 0
39.0, Производственный центр №1, 2, 464
39.0, Производственный центр №2, 2, 0
39.0, Производственный центр №3, 0, 1
39.0, Производственный центр №4, 2, 0
39.0, Производственный центр №5, 0, 0
40.0, Производственный центр №1, 2, 462
40.0, Производственный центр №2, 2, 0
40.0, Производственный центр №3, 0, 2
40.0, Производственный центр №4, 1, 0
40.0, Производственный центр №5, 1, 1
41.0, Производственный центр №1, 2, 462
41.0, Производственный центр №2, 2, 0
41.0, Производственный центр №3, 1, 1
41.0, Производственный центр №4, 0, 0
41.0, Производственный центр №5, 1, 0
42.0, Производственный центр №1, 2, 460
42.0, Производственный центр №2, 2, 0
42.0, Производственный центр №3, 2, 1
42.0, Производственный центр №4, 0, 1
42.0, Производственный центр №5, 0, 0
43.0, Производственный центр №1, 2, 460
43.0, Производственный центр №2, 1, 0
43.0, Производственный центр №3, 2, 2
43.0, Производственный центр №4, 1, 0
43.0, Производственный центр №5, 0, 0
44.0, Производственный центр №1, 2, 458
44.0, Производственный центр №2, 1, 1
44.0, Производственный центр №3, 2, 1
44.0, Производственный центр №4, 1, 0
44.0, Производственный центр №5, 0, 2
45.0, Производственный центр №1, 2, 458
45.0, Производственный центр №2, 1, 1
45.0, Производственный центр №3, 2, 0
45.0, Производственный центр №4, 0, 0
45.0, Производственный центр №5, 1, 3
46.0, Производственный центр №1, 2, 458
46.0, Производственный центр №2, 1, 0
46.0, Производственный центр №3, 2, 1
46.0, Производственный центр №4, 0, 0
46.0, Производственный центр №5, 1, 1
47.0, Производственный центр №1, 2, 456
47.0, Производственный центр №2, 1, 1
47.0, Производственный центр №3, 2, 0
47.0, Производственный центр №4, 0, 1
47.0, Производственный центр №5, 1, 0
48.0, Производственный центр №1, 2, 456
48.0, Производственный центр №2, 2, 0
48.0, Производственный центр №3, 1, 0
48.0, Производственный центр №4, 1, 0
48.0, Производственный центр №5, 0, 0
49.0, Производственный центр №1, 2, 454
49.0, Производственный центр №2, 2, 0
49.0, Производственный центр №3, 1, 1
49.0, Производственный центр №4, 1, 1
49.0, Производственный центр №5, 0, 0
50.0, Производственный центр №1, 2, 454
50.0, Производственный центр №2, 2, 0
50.0, Производственный центр №3, 1, 0
50.0, Производственный центр №4, 1, 0
50.0, Производственный центр №5, 0, 2
51.0, Производственный центр №1, 2, 452
51.0, Производственный центр №2, 2, 1
51.0, Производственный центр №3, 1, 0
51.0, Производственный центр №4, 1, 0
51.0, Производственный центр №5, 0, 3
52.0, Производственный центр №1, 2, 452
52.0, Производственный центр №2, 2, 0
52.0, Производственный центр №3, 1, 1
52.0, Производственный центр №4, 1, 0
52.0, Производственный центр №5, 0, 3
53.0, Производственный центр №1, 2, 450
53.0, Производственный центр №2, 2, 0
53.0, Производственный центр №3, 1, 1
53.0, Производственный центр №4, 1, 0
53.0, Производственный центр №5, 0, 5
54.0, Производственный центр №1, 2, 450
54.0, Производственный центр №2, 2, 0
54.0, Производственный центр №3, 1, 1
54.0, Производственный центр №4, 0, 0
54.0, Производственный центр №5, 1, 5
55.0, Производственный центр №1, 2, 448
55.0, Производственный центр №2, 2, 0
55.0, Производственный центр №3, 1, 2
55.0, Производственный центр №4, 0, 1
55.0, Производственный центр №5, 1, 3
56.0, Производственный центр №1, 2, 448
56.0, Производственный центр №2, 1, 0
56.0, Производственный центр №3, 2, 1
56.0, Производственный центр №4, 0, 1
56.0, Производственный центр №5, 1, 2
57.0, Производственный центр №1, 2, 448
57.0, Производственный центр №2, 1, 0
57.0, Производственный центр №3, 2, 1
57.0, Производственный центр №4, 0, 1
57.0, Производственный центр №5, 1, 0
58.0, Производственный центр №1, 2, 446
58.0, Производственный центр №2, 2, 0
58.0, Производственный центр №3, 2, 1
58.0, Производственный центр №4, 0, 2
58.0, Производственный центр №5, 0, 0
59.0, Производственный центр №1, 2, 446
59.0, Производственный центр №2, 1, 0
59.0, Производственный центр №3, 2, 0
59.0, Производственный центр №4, 0, 2
59.0, Производственный центр №5, 1, 0
60.0, Производственный центр №1, 2, 444
60.0, Производственный центр №2, 2, 0
60.0, Производственный центр №3, 2, 0
60.0, Производственный центр №4, 0, 3
60.0, Производственный центр №5, 0, 0
61.0, Производственный центр №1, 2, 444
61.0, Производственный центр №2, 2, 0
61.0, Производственный центр №3, 2, 0
61.0, Производственный центр №4, 0, 3
61.0, Производственный центр №5, 0, 0
62.0, Производственный центр №1, 2, 442
62.0, Производственный центр №2, 2, 0
62.0, Производственный центр №3, 1, 0
62.0, Производственный центр №4, 0, 4
62.0, Производственный центр №5, 1, 0
63.0, Производственный центр №1, 2, 442
63.0, Производственный центр №2, 2, 0
63.0, Производственный центр №3, 1, 0
63.0, Производственный центр №4, 1, 3
63.0, Производственный центр №5, 0, 0
64.0, Производственный центр №1, 2, 440
64.0, Производственный центр №2, 2, 0
64.0, Производственный центр №3, 1, 1
64.0, Производственный центр №4, 1, 3
64.0, Производственный центр №5, 0, 1
65.0, Производственный центр №1, 2, 440
65.0, Производственный центр №2, 1, 0
65.0, Производственный центр №3, 2, 0
65.0, Производственный центр №4, 1, 2
65.0, Производственный центр №5, 0, 3
66.0, Производственный центр №1, 2, 438
66.0, Производственный центр №2, 1, 1
66.0, Производственный центр №3, 2, 0
66.0, Производственный центр №4, 1, 3
66.0, Производственный центр №5, 0, 3
67.0, Производственный центр №1, 2, 438
67.0, Производственный центр №2, 1, 0
67.0, Производственный центр №3, 2, 1
67.0, Производственный центр №4, 1, 2
67.0, Производственный центр №5, 0, 4
68.0, Производственный центр №1, 2, 438
68.0, Производственный центр №2, 1, 0
68.0, Производственный центр №3, 1, 0
68.0, Производственный центр №4, 1, 1
68.0, Производственный центр №5, 1, 5
69.0, Производственный центр №1, 2, 436
69.0, Производственный центр №2, 1, 1
69.0, Производственный центр №3, 1, 0
69.0, Производственный центр №4, 1, 2
69.0, Производственный центр №5, 1, 3
70.0, Производственный центр №1, 2, 436
70.0, Производственный центр №2, 1, 1
70.0, Производственный центр №3, 1, 0
70.0, Производственный центр №4, 1, 1
70.0, Производственный центр №5, 1, 2
71.0, Производственный центр №1, 2, 434
71.0, Производственный центр №2, 1, 1
71.0, Производственный центр №3, 1, 0
71.0, Производственный центр №4, 1, 1
71.0, Производственный центр №5, 1, 2
72.0, Производственный центр №1, 2, 434
72.0, Производственный центр №2, 1, 1
72.0, Производственный центр №3, 1, 0
72.0, Производственный центр №4, 1, 1
72.0, Производственный центр №5, 1, 0
73.0, Производственный центр №1, 2, 432
73.0, Производственный центр №2, 2, 1
73.0, Производственный центр №3, 1, 0
73.0, Производственный центр №4, 1, 1
73.0, Производственный центр №5, 0, 1
74.0, Производственный центр №1, 2, 432
74.0, Производственный центр №2, 2, 0
74.0, Производственный центр №3, 1, 0
74.0, Производственный центр №4, 1, 0
74.0, Производственный центр №5, 0, 3
75.0, Производственный центр №1, 2, 430
75.0, Производственный центр №2, 2, 1
75.0, Производственный центр №3, 1, 0
75.0, Производственный центр №4, 1, 1
75.0, Производственный центр №5, 0, 3
76.0, Производственный центр №1, 2, 430
76.0, Производственный центр №2, 2, 1
76.0, Производственный центр №3, 1, 0
76.0, Производственный центр №4, 1, 0
76.0, Производственный центр №5, 0, 4
77.0, Производственный центр №1, 2, 428
77.0, Производственный центр №2, 2, 1
77.0, Производственный центр №3, 1, 0
77.0, Производственный центр №4, 1, 0
77.0, Производственный центр №5, 0, 6
78.0, Производственный центр №1, 2, 428
78.0, Производственный центр №2, 2, 0
78.0, Производственный центр №3, 1, 1
78.0, Производственный центр №4, 1, 0
78.0, Производственный центр №5, 0, 6
79.0, Производственный центр №1, 2, 428
79.0, Производственный центр №2, 2, 0
79.0, Производственный центр №3, 1, 1
79.0, Производственный центр №4, 0, 0
79.0, Производственный центр №5, 1, 6
80.0, Производственный центр №1, 2, 426
80.0, Производственный центр №2, 2, 0
80.0, Производственный центр №3, 1, 1
80.0, Производственный центр №4, 0, 1
80.0, Производственный центр №5, 1, 5
81.0, Производственный центр №1, 2, 426
81.0, Производственный центр №2, 1, 0
81.0, Производственный центр №3, 2, 1
81.0, Производственный центр №4, 0, 1
81.0, Производственный центр №5, 1, 3
82.0, Производственный центр №1, 2, 424
82.0, Производственный центр №2, 1, 1
82.0, Производственный центр №3, 2, 1
82.0, Производственный центр №4, 0, 2
82.0, Производственный центр №5, 1, 1
83.0, Производственный центр №1, 2, 424
83.0, Производственный центр №2, 1, 1
83.0, Производственный центр №3, 2, 0
83.0, Производственный центр №4, 0, 2
83.0, Производственный центр №5, 1, 0
84.0, Производственный центр №1, 2, 422
84.0, Производственный центр №2, 2, 0
84.0, Производственный центр №3, 2, 0
84.0, Производственный центр №4, 0, 3
84.0, Производственный центр №5, 0, 0
85.0, Производственный центр №1, 2, 422
85.0, Производственный центр №2, 2, 0
85.0, Производственный центр №3, 2, 0
85.0, Производственный центр №4, 0, 3
85.0, Производственный центр №5, 0, 0
86.0, Производственный центр №1, 2, 420
86.0, Производственный центр №2, 2, 1
86.0, Производственный центр №3, 1, 0
86.0, Производственный центр №4, 1, 3
86.0, Производственный центр №5, 0, 0
87.0, Производственный центр №1, 2, 420
87.0, Производственный центр №2, 2, 0
87.0, Производственный центр №3, 1, 0
87.0, Производственный центр №4, 1, 3
87.0, Производственный центр №5, 0, 1
88.0, Производственный центр №1, 2, 418
88.0, Производственный центр №2, 2, 0
88.0, Производственный центр №3, 1, 1
88.0, Производственный центр №4, 1, 3
88.0, Производственный центр №5, 0, 2
89.0, Производственный центр №1, 2, 418
89.0, Производственный центр №2, 2, 0
89.0, Производственный центр №3, 1, 1
89.0, Производственный центр №4, 1, 2
89.0, Производственный центр №5, 0, 3
90.0, Производственный центр №1, 2, 418
90.0, Производственный центр №2, 2, 0
90.0, Производственный центр №3, 1, 0
90.0, Производственный центр №4, 1, 2
90.0, Производственный центр №5, 0, 4
91.0, Производственный центр №1, 2, 416
91.0, Производственный центр №2, 1, 0
91.0, Производственный центр №3, 2, 1
91.0, Производственный центр №4, 1, 2
91.0, Производственный центр №5, 0, 5
92.0, Производственный центр №1, 2, 416
92.0, Производственный центр №2, 1, 0
92.0, Производственный центр №3, 2, 1
92.0, Производственный центр №4, 1, 1
92.0, Производственный центр №5, 0, 6
93.0, Производственный центр №1, 2, 414
93.0, Производственный центр №2, 1, 1
93.0, Производственный центр №3, 2, 0
93.0, Производственный центр №4, 1, 2
93.0, Производственный центр №5, 0, 7
94.0, Производственный центр №1, 2, 414
94.0, Производственный центр №2, 1, 0
94.0, Производственный центр №3, 2, 0
94.0, Производственный центр №4, 1, 1
94.0, Производственный центр №5, 0, 9
95.0, Производственный центр №1, 2, 412
95.0, Производственный центр №2, 1, 1
95.0, Производственный центр №3, 2, 0
95.0, Производственный центр №4, 1, 1
95.0, Производственный центр №5, 0, 10
96.0, Производственный центр №1, 2, 412
96.0, Производственный центр №2, 1, 1
96.0, Производственный центр №3, 1, 0
96.0, Производственный центр №4, 1, 1
96.0, Производственный центр №5, 1, 9
97.0, Производственный центр №1, 2, 410
97.0, Производственный центр №2, 1, 2
97.0, Производственный центр №3, 0, 0
97.0, Производственный центр №4, 1, 1
97.0, Производственный центр №5, 2, 7
98.0, Производственный центр №1, 2, 410
98.0, Производственный центр №2, 1, 1
98.0, Производственный центр №3, 0, 1
98.0, Производственный центр №4, 1, 0
98.0, Производственный центр №5, 2, 4
99.0, Производственный центр №1, 2, 408
99.0, Производственный центр №2, 1, 2
99.0, Производственный центр №3, 0, 1
99.0, Производственный центр №4, 1, 1
99.0, Производственный центр №5, 2, 0
100.0, Производственный центр №1, 2, 408
100.0, Производственный центр №2, 2, 1
100.0, Производственный центр №3, 1, 0
100.0, Производственный центр №4, 1, 0
100.0, Производственный центр №5, 0, 1
101.0, Производственный центр №1, 2, 408
101.0, Производственный центр №2, 2, 0
101.0, Производственный центр №3, 1, 1
101.0, Производственный центр №4, 0, 0
101.0, Производственный центр №5, 1, 1
102.0, Производственный центр №1, 2, 406
102.0, Производственный центр №2, 2, 1
102.0, Производственный центр №3, 2, 0
102.0, Производственный центр №4, 0, 1
102.0, Производственный центр №5, 0, 0
103.0, Производственный центр №1, 2, 406
103.0, Производственный центр №2, 2, 1
103.0, Производственный центр №3, 1, 0
103.0, Производственный центр №4, 1, 0
103.0, Производственный центр №5, 0, 0
104.0, Производственный центр №1, 2, 404
104.0, Производственный центр №2, 2, 1
104.0, Производственный центр №3, 1, 1
104.0, Производственный центр №4, 1, 1
104.0, Производственный центр №5, 0, 0
105.0, Производственный центр №1, 2, 404
105.0, Производственный центр №2, 2, 0
105.0, Производственный центр №3, 1, 1
105.0, Производственный центр №4, 1, 0
105.0, Производственный центр №5, 0, 2
106.0, Производственный центр №1, 2, 402
106.0, Производственный центр №2, 2, 1
106.0, Производственный центр №3, 1, 1
106.0, Производственный центр №4, 1, 0
106.0, Производственный центр №5, 0, 3
107.0, Производственный центр №1, 2, 402
107.0, Производственный центр №2, 2, 0
107.0, Производственный центр №3, 1, 2
107.0, Производственный центр №4, 1, 0
107.0, Производственный центр №5, 0, 3
108.0, Производственный центр №1, 2, 400
108.0, Производственный центр №2, 2, 0
108.0, Производственный центр №3, 1, 2
108.0, Производственный центр №4, 1, 0
108.0, Производственный центр №5, 0, 5
109.0, Производственный центр №1, 2, 400
109.0, Производственный центр №2, 2, 0
109.0, Производственный центр №3, 1, 2
109.0, Производственный центр №4, 0, 0
109.0, Производственный центр №5, 1, 5
110.0, Производственный центр №1, 2, 398
110.0, Производственный центр №2, 2, 1
110.0, Производственный центр №3, 1, 2
110.0, Производственный центр №4, 0, 1
110.0, Производственный центр №5, 1, 3
111.0, Производственный центр №1, 2, 398
111.0, Производственный центр №2, 2, 0
111.0, Производственный центр №3, 1, 2
111.0, Производственный центр №4, 0, 1
111.0, Производственный центр №5, 1, 2
112.0, Производственный центр №1, 2, 398
112.0, Производственный центр №2, 1, 0
112.0, Производственный центр №3, 2, 2
112.0, Производственный центр №4, 0, 1
112.0, Производственный центр №5, 1, 0
113.0, Производственный центр №1, 2, 396
113.0, Производственный центр №2, 2, 0
113.0, Производственный центр №3, 2, 2
113.0, Производственный центр №4, 0, 2
113.0, Производственный центр №5, 0, 0
114.0, Производственный центр №1, 2, 396
114.0, Производственный центр №2, 1, 0
114.0, Производственный центр №3, 2, 2
114.0, Производственный центр №4, 1, 1
114.0, Производственный центр №5, 0, 0
115.0, Производственный центр №1, 2, 394
115.0, Производственный центр №2, 1, 1
115.0, Производственный центр №3, 2, 1
115.0, Производственный центр №4, 1, 2
115.0, Производственный центр №5, 0, 1
116.0, Производственный центр №1, 2, 394
116.0, Производственный центр №2, 1, 1
116.0, Производственный центр №3, 2, 1
116.0, Производственный центр №4, 1, 1
116.0, Производственный центр №5, 0, 2
117.0, Производственный центр №1, 2, 392
117.0, Производственный центр №2, 1, 1
117.0, Производственный центр №3, 2, 1
117.0, Производственный центр №4, 1, 1
117.0, Производственный центр №5, 0, 4
118.0, Производственный центр №1, 2, 392
118.0, Производственный центр №2, 1, 1
118.0, Производственный центр №3, 2, 0
118.0, Производственный центр №4, 1, 1
118.0, Производственный центр №5, 0, 5
119.0, Производственный центр №1, 2, 390
119.0, Производственный центр №2, 1, 2
119.0, Производственный центр №3, 2, 0
119.0, Производственный центр №4, 1, 1
119.0, Производственный центр №5, 0, 6
120.0, Производственный центр №1, 2, 390
120.0, Производственный центр №2, 1, 1
120.0, Производственный центр №3, 2, 0
120.0, Производственный центр №4, 1, 0
120.0, Производственный центр №5, 0, 8
121.0, Производственный центр №1, 2, 388
121.0, Производственный центр №2, 1, 2
121.0, Производственный центр №3, 1, 0
121.0, Производственный центр №4, 1, 1
121.0, Производственный центр №5, 1, 7
122.0, Производственный центр №1, 2, 388
122.0, Производственный центр №2, 1, 2
122.0, Производственный центр №3, 1, 0
122.0, Производственный центр №4, 1, 0
122.0, Производственный центр №5, 1, 6
123.0, Производственный центр №1, 2, 388
123.0, Производственный центр №2, 2, 1
123.0, Производственный центр №3, 0, 0
123.0, Производственный центр №4, 0, 0
123.0, Производственный центр №5, 2, 4
124.0, Производственный центр №1, 2, 386
124.0, Производственный центр №2, 2, 1
124.0, Производственный центр №3, 0, 1
124.0, Производственный центр №4, 0, 1
124.0, Производственный центр №5, 2, 0
125.0, Производственный центр №1, 2, 386
125.0, Производственный центр №2, 2, 1
125.0, Производственный центр №3, 1, 0
125.0, Производственный центр №4, 1, 0
125.0, Производственный центр №5, 0, 0
126.0, Производственный центр №1, 2, 384
126.0, Производственный центр №2, 2, 2
126.0, Производственный центр №3, 1, 0
126.0, Производственный центр №4, 1, 0
126.0, Производственный центр №5, 0, 1
127.0, Производственный центр №1, 2, 384
127.0, Производственный центр №2, 2, 0
127.0, Производственный центр №3, 1, 2
127.0, Производственный центр №4, 0, 0
127.0, Производственный центр №5, 1, 1
128.0, Производственный центр №1, 2, 382
128.0, Производственный центр №2, 2, 1
128.0, Производственный центр №3, 1, 1
128.0, Производственный центр №4, 0, 1
128.0, Производственный центр №5, 1, 0
129.0, Производственный центр №1, 2, 382
129.0, Производственный центр №2, 2, 1
129.0, Производственный центр №3, 2, 0
129.0, Производственный центр №4, 0, 1
129.0, Производственный центр №5, 0, 0
130.0, Производственный центр №1, 2, 380
130.0, Производственный центр №2, 2, 1
130.0, Производственный центр №3, 2, 1
130.0, Производственный центр №4, 0, 2
130.0, Производственный центр №5, 0, 0
131.0, Производственный центр №1, 2, 380
131.0, Производственный центр №2, 2, 0
131.0, Производственный центр №3, 2, 1
131.0, Производственный центр №4, 0, 2
131.0, Производственный центр №5, 0, 1
132.0, Производственный центр №1, 2, 378
132.0, Производственный центр №2, 2, 1
132.0, Производственный центр №3, 2, 0
132.0, Производственный центр №4, 0, 3
132.0, Производственный центр №5, 0, 2
133.0, Производственный центр №1, 2, 378
133.0, Производственный центр №2, 2, 1
133.0, Производственный центр №3, 2, 0
133.0, Производственный центр №4, 0, 3
133.0, Производственный центр №5, 0, 2
134.0, Производственный центр №1, 2, 378
134.0, Производственный центр №2, 1, 0
134.0, Производственный центр №3, 2, 1
134.0, Производственный центр №4, 0, 3
134.0, Производственный центр №5, 1, 1
135.0, Производственный центр №1, 2, 376
135.0, Производственный центр №2, 1, 1
135.0, Производственный центр №3, 2, 0
135.0, Производственный центр №4, 0, 4
135.0, Производственный центр №5, 1, 0
136.0, Производственный центр №1, 2, 376
136.0, Производственный центр №2, 2, 0
136.0, Производственный центр №3, 2, 0
136.0, Производственный центр №4, 0, 4
136.0, Производственный центр №5, 0, 0
137.0, Производственный центр №1, 2, 374
137.0, Производственный центр №2, 2, 1
137.0, Производственный центр №3, 1, 0
137.0, Производственный центр №4, 1, 4
137.0, Производственный центр №5, 0, 0
138.0, Производственный центр №1, 2, 374
138.0, Производственный центр №2, 2, 0
138.0, Производственный центр №3, 1, 0
138.0, Производственный центр №4, 1, 4
138.0, Производственный центр №5, 0, 1
139.0, Производственный центр №1, 2, 372
139.0, Производственный центр №2, 2, 1
139.0, Производственный центр №3, 1, 0
139.0, Производственный центр №4, 1, 4
139.0, Производственный центр №5, 0, 2
140.0, Производственный центр №1, 2, 372
140.0, Производственный центр №2, 2, 0
140.0, Производственный центр №3, 1, 1
140.0, Производственный центр №4, 1, 3
140.0, Производственный центр №5, 0, 3
141.0, Производственный центр №1, 2, 370
141.0, Производственный центр №2, 2, 0
141.0, Производственный центр №3, 1, 1
141.0, Производственный центр №4, 1, 4
141.0, Производственный центр №5, 0, 4
142.0, Производственный центр №1, 2, 370
142.0, Производственный центр №2, 2, 0
142.0, Производственный центр №3, 1, 1
142.0, Производственный центр №4, 1, 3
142.0, Производственный центр №5, 0, 5
143.0, Производственный центр №1, 2, 368
